year,location,sex,age_group,cause,measure,value,lower,upper,group_id,gdp_per_capita_ppp,health_expenditure_pc,physicians_per_1000,urbanisation_pct,life_expectancy,population,time_idx,split
1990,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),477.1151008827924,317.2481525030356,667.5707037408528,AUS_anxiety,36267.7410592234,1626.73388672,2.16,85.3951926476336,76.9946341463415,17065128.0,0,train
1991,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),481.18699348272287,321.1467836314159,670.2912524504337,AUS_anxiety,35670.6678637309,1626.73388672,2.325,85.4000007462027,77.2756097560976,17284036.0,1,train
1992,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),485.1470380303099,320.4711383664883,676.8327299709554,AUS_anxiety,35426.2848289008,1626.73388672,2.363,85.3907597470933,77.3780487804878,17478635.0,2,train
1993,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),490.81621575533103,326.2415546401028,677.9001381342911,AUS_anxiety,36533.1468283451,1626.73388672,2.387,85.3660763370105,77.8780487804878,17634808.0,3,train
1994,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),499.2790941387401,337.613195368951,694.6712181499724,AUS_anxiety,37622.6524772939,1626.73388672,2.425,85.3300727660859,77.8780487804878,17805468.0,4,train
1995,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),508.1969463634924,341.735927950028,707.1823007107679,AUS_anxiety,38653.3366778657,1626.73388672,2.464,85.2868710503009,77.8292682926829,18004882.0,5,train
1996,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),516.3815427699632,346.3710636305621,720.2725715544991,AUS_anxiety,39663.1617728168,1626.73388672,2.39,85.2405932056372,78.0780487804878,18224767.0,6,train
1997,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),524.6592804805083,351.6044335329369,738.2512971882253,AUS_anxiety,40773.5660516518,1626.73388672,2.388,85.1953612480762,78.4804878048781,18423037.0,7,train
1998,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),534.0660586764128,359.480925076925,740.4929081774636,AUS_anxiety,42257.1718122395,1626.73388672,2.389,85.1552971935996,78.6317073170732,18607584.0,8,train
1999,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),546.0479407294597,367.1072013602052,751.6794327271323,AUS_anxiety,43899.073794405,1626.73388672,2.433,85.1245230581889,78.9317073170732,18812264.0,9,train
2000,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),557.9342243166138,375.01251063471904,763.9322069738118,AUS_anxiety,45099.0752097084,1626.73388672,2.476,85.1071608578257,79.2341463414634,19028802.0,10,train
2001,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),571.3950979185516,381.06228946164816,784.526716867949,AUS_anxiety,45428.2000837579,1550.37390137,2.551,85.1481094164726,79.6341463414634,19274701.0,11,train
2002,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),584.8296908709067,393.8507112450687,808.1421725951719,AUS_anxiety,46688.3947760633,1752.93896484,2.546,85.2842102783464,79.9365853658537,19495210.0,12,train
2003,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),601.1129298205828,405.2931361547372,818.2076867270065,AUS_anxiety,47581.2285345879,2227.12768555,2.615,85.4097077818668,80.2390243902439,19720737.0,13,train
2004,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),619.4044788830976,420.9976628058953,850.8300809796997,AUS_anxiety,49061.2761503925,2744.08105469,2.692,85.518767609412,80.490243902439,19932722.0,14,train
2005,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),638.939442446781,429.29492726464434,873.6615193299522,AUS_anxiety,49997.0664953941,2995.87255859,2.764,85.6190871221958,80.8414634146341,20176844.0,15,train
2006,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),656.1085660083395,439.7304669648156,899.7359465242372,AUS_anxiety,50693.7248649798,3174.86865234,2.825,85.7492544263523,81.0414634146342,20450966.0,16,train
2007,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),673.347977505817,450.6072943859423,944.418704544188,AUS_anxiety,51663.2403953881,3792.80981445,2.99,85.8968519574969,81.2926829268293,20827622.0,17,train
2008,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),691.5562629562158,460.1237632897061,979.9136166594668,AUS_anxiety,52473.3819160773,4083.42944336,3.0,86.0253816967666,81.3951219512195,21249199.0,18,train
2009,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),711.641702133824,476.8777356936062,1013.7432595950868,AUS_anxiety,52407.9115378584,3989.44116211,3.104,86.1278139101818,81.5439024390244,21691653.0,19,train
2010,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),733.012177932806,491.5147360046496,1043.822543923612,AUS_anxiety,52739.2681556133,4947.96337891,3.345,86.2198600512143,81.6951219512195,22031750.0,20,train
2011,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),758.2029822967326,515.8512795354101,1097.082259010259,AUS_anxiety,53257.0473237603,5876.88525391,3.296,86.3268946146423,81.8951219512195,22340024.0,21,train
2012,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),786.3992148323371,530.0286615908751,1134.77980383866,AUS_anxiety,54403.8836902433,6038.87158203,3.293,86.4451259136625,82.0463414634146,22733465.0,22,train
2013,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),811.588093931433,547.9979396816086,1173.3113759681444,AUS_anxiety,54895.0052588984,5811.86865234,3.356,86.5740515760243,82.1487804878049,23128129.0,23,train
2014,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),847.3576668442196,570.6885139696194,1211.340816946767,AUS_anxiety,55489.068844146,6098.25439453,3.432,86.7221289343356,82.3,23475686.0,24,train
2015,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),877.5854766295608,586.6827651226594,1245.1480772743744,AUS_anxiety,55879.9958817103,5271.93310547,3.486,86.8778642539361,82.4,23815995.0,25,train
2016,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),911.61893638918,606.5200819460176,1279.9104668833172,AUS_anxiety,56529.951824687,5418.43652344,3.557,87.0166295249235,82.4487804878049,24190907.0,26,train
2017,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),944.4052141514044,638.1360699457017,1317.0726783807706,AUS_anxiety,56881.8569859104,5770.69042969,3.656,87.12809266445,82.5,24592588.0,27,train
2018,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),972.4945879881813,652.0391180353954,1339.620796321217,AUS_anxiety,57647.8455068105,5843.64794922,3.726,87.2267680845925,82.7487804878049,24963258.0,28,train
2019,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),1005.4167957739584,682.1456062277194,1390.1790243252835,AUS_anxiety,58048.6188420831,5543.37841797,3.808,87.3019647888406,82.9,25334826.0,29,val
2020,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),1128.2515876596426,777.0104747590956,1545.5990473650124,AUS_anxiety,57260.4650530108,5968.00341797,3.895,87.2713470458985,83.2,25649248.0,30,val
2021,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),1157.8446817850106,798.2396069801908,1577.4509744841437,AUS_anxiety,58327.4146842325,7092.13476563,3.976,87.2353407632761,83.3,25685412.0,31,val
2022,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),1220.341524738267,831.2433941687639,1678.7477511736222,AUS_anxiety,60029.1329190733,6723.98242188,4.086,87.3343268253813,83.2,26018721.0,32,test
2023,AUS,both,all_ages,anxiety,DALYs (Disability-Adjusted Life Years),1314.065564893269,898.1542238813263,1807.1727443416144,AUS_anxiety,60684.9596204883,6980.38525391,4.086,87.4866955653765,83.0512195121951,26659922.0,33,test
1990,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),599.2492630159775,436.8855246979143,790.3986500104816,AUS_asthma,36267.7410592234,1626.73388672,2.16,85.3951926476336,76.9946341463415,17065128.0,0,train
1991,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),589.7257213727595,427.290236856653,777.5660103293613,AUS_asthma,35670.6678637309,1626.73388672,2.325,85.4000007462027,77.2756097560976,17284036.0,1,train
1992,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),586.7824278811157,425.2148493405751,776.381048364773,AUS_asthma,35426.2848289008,1626.73388672,2.363,85.3907597470933,77.3780487804878,17478635.0,2,train
1993,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),587.0238827493675,426.3725580596503,776.6357704955452,AUS_asthma,36533.1468283451,1626.73388672,2.387,85.3660763370105,77.8780487804878,17634808.0,3,train
1994,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),587.2439774765928,426.49370566065,774.1703753801758,AUS_asthma,37622.6524772939,1626.73388672,2.425,85.3300727660859,77.8780487804878,17805468.0,4,train
1995,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),584.1221705566985,426.70786268281904,771.978231705745,AUS_asthma,38653.3366778657,1626.73388672,2.464,85.2868710503009,77.8292682926829,18004882.0,5,train
1996,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),581.2900521645628,423.7986794429228,769.3713673429684,AUS_asthma,39663.1617728168,1626.73388672,2.39,85.2405932056372,78.0780487804878,18224767.0,6,train
1997,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),573.3962967071677,418.3081514687712,762.8786596681002,AUS_asthma,40773.5660516518,1626.73388672,2.388,85.1953612480762,78.4804878048781,18423037.0,7,train
1998,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),560.5466172798264,402.47592584787367,749.7858479985954,AUS_asthma,42257.1718122395,1626.73388672,2.389,85.1552971935996,78.6317073170732,18607584.0,8,train
1999,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),553.704419833814,394.37691068251536,745.5732012963248,AUS_asthma,43899.073794405,1626.73388672,2.433,85.1245230581889,78.9317073170732,18812264.0,9,train
2000,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),548.8496686217746,389.0644097701993,738.7527334099734,AUS_asthma,45099.0752097084,1626.73388672,2.476,85.1071608578257,79.2341463414634,19028802.0,10,train
2001,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),544.1537440794045,386.4736936175205,736.1652142204464,AUS_asthma,45428.2000837579,1550.37390137,2.551,85.1481094164726,79.6341463414634,19274701.0,11,train
2002,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),540.0908770244945,384.0509209229732,729.2464521868062,AUS_asthma,46688.3947760633,1752.93896484,2.546,85.2842102783464,79.9365853658537,19495210.0,12,train
2003,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),534.3846857433624,379.03814049425455,727.7029502809891,AUS_asthma,47581.2285345879,2227.12768555,2.615,85.4097077818668,80.2390243902439,19720737.0,13,train
2004,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),534.127816452168,378.5987413145771,730.7174406848138,AUS_asthma,49061.2761503925,2744.08105469,2.692,85.518767609412,80.490243902439,19932722.0,14,train
2005,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),534.3475367575506,378.2518703893906,732.283888126054,AUS_asthma,49997.0664953941,2995.87255859,2.764,85.6190871221958,80.8414634146341,20176844.0,15,train
2006,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),537.9495107659754,379.46082390630886,741.5709141837167,AUS_asthma,50693.7248649798,3174.86865234,2.825,85.7492544263523,81.0414634146342,20450966.0,16,train
2007,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),540.2704292404098,383.838549169175,738.5363491611542,AUS_asthma,51663.2403953881,3792.80981445,2.99,85.8968519574969,81.2926829268293,20827622.0,17,train
2008,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),541.4685656800423,383.5813376320243,738.9461311485096,AUS_asthma,52473.3819160773,4083.42944336,3.0,86.0253816967666,81.3951219512195,21249199.0,18,train
2009,AUS,both,all_ages,asthma,DALYs (Disability-Adjusted Life Years),539.9543044882104,381.6112774756886,738.5461207363518,AUS_asthma,52407.9115378584,3989.44116211,3.104,86.1278139101818,81.5439024390244,21691653.0,19,train
