cause,age_group,value_2023,value_2040,pct_change
anxiety,0-14,639.4366769512843,23470.19700599595,3570.4489829856966
asthma,0-14,658.2657643948752,1157.7552362806048,75.87960652106766
cancer_all,0-14,201.981329768514,200.4693931998763,-0.7485526362117243
cancer_breast,0-14,0.0,0.0,
cancer_colorectal,0-14,0.0,0.0,
cancer_liver,0-14,6.854055317114983,6.874183933799655,0.29367455839478807
cancer_lung,0-14,0.0,0.0,
cancer_prostate,0-14,0.0,0.0,
ckd,0-14,4.114218694663905,5.6962380889337645,38.45248664884345
copd,0-14,0.0,0.0,
dementia,0-14,0.0,0.0,
depression,0-14,301.829252149942,304.84626421252216,0.9995757671232449
dm_type1,0-14,8.847621392247442,9.906086110059658,11.963268667211224
dm_type2,0-14,0.0,0.0,
hypertensive_hd,0-14,0.0,0.0,
ihd,0-14,0.0,0.0,
self_harm,0-14,24.97335790920148,25.582352467690335,2.438576985534136
stroke,0-14,11.970800273000648,7.272859982234826,-39.24499769127146
anxiety,15-49,1937.50424094552,11428.83890382764,489.8742651654925
asthma,15-49,488.8125240523727,458.92849964607706,-6.113596304478845
cancer_all,15-49,977.4237006984988,430.2866917995178,-55.97746489142621
cancer_breast,15-49,125.208105622724,31.226021701793787,-75.0607027025201
cancer_colorectal,15-49,119.03511007638792,114.02612726322582,-4.2079877188736265
cancer_liver,15-49,42.93646226573052,39.76100124636815,-7.39572114653899
cancer_lung,15-49,79.14235897674291,80.19449582808318,1.3294231621898585
cancer_prostate,15-49,3.8318257603024537,3.8259948989118304,-0.15216927270103833
ckd,15-49,63.21383915170826,63.2961662603299,0.13023589411182926
copd,15-49,50.27364181450446,49.69061129514559,-1.1597141132327142
dementia,15-49,5.584532999466935,3.065765674457075,-45.10255960973436
depression,15-49,961.3407941754496,960.2465169071262,-0.11382823603797426
dm_type1,15-49,52.8844876113209,52.730881626521885,-0.29045565483768127
dm_type2,15-49,108.58076427237285,99.82934896667176,-8.059821059785804
hypertensive_hd,15-49,7.852391893183963,7.82182602065975,-0.38925556620199836
ihd,15-49,224.01043584523657,171.49814533051952,-23.44189471199303
self_harm,15-49,843.9416337316907,781.4122032959109,-7.409212667858426
stroke,15-49,125.68764752054769,73.92342458599305,-41.18481326981008
anxiety,50-69,1021.2823581579296,1931.3587088515612,89.11113987468869
asthma,50-69,479.6697340633052,413.23800697102394,-13.849472329541193
cancer_all,50-69,7280.396148519258,4124.425965736897,-43.3488799016005
cancer_breast,50-69,657.0766777475186,408.1602225481605,-37.88240606144358
cancer_colorectal,50-69,778.7145931781602,657.4704828246652,-15.569775038973214
cancer_liver,50-69,420.40157738283176,366.9993964742012,-12.702659500252242
cancer_lung,50-69,1410.2114701782525,1187.6082904635457,-15.785092124273353
cancer_prostate,50-69,333.0277256823715,342.8661699342548,2.954241792248493
ckd,50-69,371.57625182574793,355.62171701434244,-4.2937444825961135
copd,50-69,918.3358189542396,725.1763036443712,-21.03364709544162
dementia,50-69,455.6663575337791,434.609142424933,-4.621191527681544
depression,50-69,753.9766784216864,755.2737559717206,0.17203152128648633
dm_type1,50-69,54.66191380133002,54.72117197543019,0.10840852428903311
dm_type2,50-69,1005.749621681685,980.4919363135144,-2.5113293431756794
hypertensive_hd,50-69,75.78708873612952,100.5594948331999,32.68684219197456
ihd,50-69,1809.0346229362608,2433.1450614464984,34.499640338405364
self_harm,50-69,512.6649001898605,500.8269233016669,-2.309106179067368
stroke,50-69,684.1593956968809,395.19570768887974,-42.236310693893834
anxiety,70+,516.5239032332239,1467.952010764372,184.19827264055073
asthma,70+,505.65179640264273,365.52942980550205,-27.711236782705583
cancer_all,70+,17331.59691945097,16733.43456408157,-3.4512824072090713
cancer_breast,70+,1044.6659911226582,943.3483644593811,-9.698566577667123
cancer_colorectal,70+,1940.27266808872,569.6757857641635,-70.63939542449326
cancer_liver,70+,635.3821695119673,769.842103527238,21.162056549139315
cancer_lung,70+,2953.9303076018828,2752.0679243694767,-6.833688076963668
cancer_prostate,70+,1854.4712930408589,1855.771672766988,0.07012131872890476
ckd,70+,2101.693676435623,2118.494470923207,0.7993931121340839
copd,70+,3961.180721066629,3778.972323799888,-4.59985065305674
dementia,70+,6895.294217652964,7163.537626104187,3.890238762611186
depression,70+,616.7318256957794,613.413334965879,-0.5380767769129784
dm_type1,70+,51.69368915931235,49.11071315035372,-4.996695053042702
dm_type2,70+,2629.335376555765,2569.039823072393,-2.2931861040243002
hypertensive_hd,70+,409.9186003063254,393.0958366976665,-4.103927852038796
ihd,70+,6810.342923616912,2786.9593152277503,-59.0775479812752
self_harm,70+,241.7456042537072,241.4429271228383,-0.12520481263900576
stroke,70+,4000.5463532243534,2334.6557108234756,-41.6415783073781
