combination,n_models,mean_mae,median_mae
ETS + Prophet + XGBoost + TFT + PatchTST,5,33.01,15.66
ETS + Prophet + TFT + PatchTST,4,33.15,15.97
ETS + Prophet + XGBoost + TFT + NHITS + PatchTST,6,33.17,14.46
ETS + Prophet + XGBoost + TFT + PatchTST + Chronos,6,33.17,14.52
ARIMA + Prophet + XGBoost + TFT + PatchTST,5,33.18,15.36
ETS + Prophet + XGBoost + TFT + NHITS + PatchTST + Chronos,7,33.23,13.97
ARIMA + Prophet + XGBoost + TFT + PatchTST + Chronos,6,33.24,14.18
ARIMA + Prophet + XGBoost + TFT + NHITS + PatchTST,6,33.26,14.41
ETS + Prophet + XGBoost + TFT + NBEATS + PatchTST,6,33.27,14.08
ARIMA + Prophet + XGBoost + TFT + NHITS + PatchTST + Chronos,7,33.27,14.04
Prophet + XGBoost + TFT + PatchTST,4,33.28,16.57
Prophet + XGBoost + TFT + NHITS + PatchTST + Chronos,6,33.29,15.08
Prophet + XGBoost + TFT + PatchTST + Chronos,5,33.29,16.17
Prophet + XGBoost + TFT + NHITS + PatchTST,5,33.3,15.36
ETS + Prophet + TFT + PatchTST + Chronos,5,33.31,15.67
ETS + Prophet + XGBoost + TFT + NBEATS + PatchTST + Chronos,7,33.33,13.39
ARIMA + Prophet + XGBoost + TFT + NBEATS + PatchTST,6,33.35,14.33
ARIMA + Prophet + TFT + PatchTST,4,33.36,15.64
ETS + Prophet + TFT + NHITS + PatchTST + Chronos,6,33.36,15.0
ARIMA + Prophet + XGBoost + TFT + NBEATS + PatchTST + Chronos,7,33.36,13.18
ETS + Prophet + TFT + NHITS + PatchTST,5,33.36,17.07
Prophet + XGBoost + TFT + NBEATS + PatchTST + Chronos,6,33.37,14.89
ETS + XGBoost + TFT + PatchTST,4,33.37,16.03
ARIMA + ETS + Prophet + TFT + PatchTST,5,33.38,14.92
ARIMA + ETS + Prophet + XGBoost + TFT + NHITS + PatchTST + Chronos,8,33.38,14.15
Prophet + XGBoost + TFT + NBEATS + PatchTST,5,33.38,15.05
ETS + TFT + PatchTST,3,33.4,15.15
ARIMA + ETS + Prophet + XGBoost + TFT + NHITS + PatchTST,7,33.4,14.76
ARIMA + ETS + Prophet + XGBoost + TFT + PatchTST,6,33.41,15.47
ARIMA + ETS + Prophet + TFT + PatchTST + Chronos,6,33.41,14.32
ARIMA + ETS + Prophet + TFT + NHITS + PatchTST + Chronos,7,33.42,14.55
ARIMA + ETS + Prophet + XGBoost + TFT + PatchTST + Chronos,7,33.43,15.62
ETS + Prophet + TFT + NBEATS + PatchTST,5,33.43,15.95
ARIMA + Prophet + TFT + PatchTST + Chronos,5,33.44,15.13
ETS + Prophet + TFT + NBEATS + PatchTST + Chronos,6,33.45,14.04
Prophet + XGBoost + NHITS + PatchTST + Chronos,5,33.47,14.96
ARIMA + ETS + Prophet + TFT + NHITS + PatchTST,6,33.47,14.63
ARIMA + Prophet + TFT + NHITS + PatchTST + Chronos,6,33.49,15.04
ARIMA + ETS + Prophet + XGBoost + TFT + NBEATS + PatchTST + Chronos,8,33.49,13.98
ARIMA + ETS + Prophet + XGBoost + TFT + NBEATS + PatchTST,7,33.51,14.2
Prophet + XGBoost + PatchTST + Chronos,4,33.52,15.73
ETS + Prophet + PatchTST + Chronos,4,33.53,15.04
ARIMA + ETS + Prophet + TFT + NBEATS + PatchTST + Chronos,7,33.54,13.34
ARIMA + Prophet + TFT + NHITS + PatchTST,5,33.55,16.72
ETS + Prophet + XGBoost + NHITS + PatchTST + Chronos,6,33.56,14.18
ETS + Prophet + XGBoost + PatchTST + Chronos,5,33.56,15.55
ARIMA + Prophet + XGBoost + TFT + NBEATS + NHITS + PatchTST + Chronos,8,33.56,13.76
ARIMA + ETS + Prophet + TFT + NBEATS + PatchTST,6,33.57,14.23
ETS + Prophet + XGBoost + TFT + NBEATS + NHITS + PatchTST + Chronos,8,33.57,13.87
ARIMA + Prophet + TFT + NBEATS + PatchTST + Chronos,6,33.59,14.28
ARIMA + XGBoost + TFT + PatchTST,4,33.59,15.49
ARIMA + ETS + Prophet + XGBoost + TFT + NBEATS + NHITS + PatchTST + Chronos,9,33.6,13.92
Prophet + XGBoost + TFT + NBEATS + NHITS + PatchTST + Chronos,7,33.61,14.14
ETS + XGBoost + TFT + NHITS + PatchTST,5,33.61,15.74
ARIMA + Prophet + TFT + NBEATS + PatchTST,5,33.61,16.18
ETS + XGBoost + TFT + PatchTST + Chronos,5,33.61,15.33
Prophet + XGBoost + NBEATS + PatchTST + Chronos,5,33.64,14.73
ETS + Prophet + XGBoost + TFT + NBEATS + NHITS + PatchTST,7,33.65,14.28
ETS + XGBoost + TFT + NHITS + PatchTST + Chronos,6,33.67,14.86
ETS + TFT + PatchTST + Chronos,4,33.68,15.16
