combination,n_models,mean_mae,median_mae
ETS + Prophet + XGBoost + TFT + PatchTST,5,33.01,15.66
ETS + Prophet + TFT + PatchTST,4,33.15,15.97
Prophet + XGBoost + TFT + PatchTST,4,33.28,16.57
Prophet + XGBoost + TFT + PatchTST + Chronos,5,33.29,16.17
Prophet + XGBoost + TFT + N-HiTS + PatchTST,5,33.3,15.36
ETS + Prophet + TFT + PatchTST + Chronos,5,33.31,15.67
ETS + Prophet + TFT + N-HiTS + PatchTST,5,33.36,17.07
ETS + XGBoost + TFT + PatchTST,4,33.37,16.03
Prophet + XGBoost + TFT + N-BEATS + PatchTST,5,33.38,15.05
ETS + TFT + PatchTST,3,33.4,15.15
ETS + Prophet + TFT + N-BEATS + PatchTST,5,33.43,15.95
Prophet + XGBoost + N-HiTS + PatchTST + Chronos,5,33.47,14.96
Prophet + XGBoost + PatchTST + Chronos,4,33.52,15.73
ETS + Prophet + PatchTST + Chronos,4,33.53,15.04
ETS + Prophet + XGBoost + PatchTST + Chronos,5,33.56,15.55
ETS + XGBoost + TFT + PatchTST + Chronos,5,33.61,15.33
ETS + XGBoost + TFT + N-HiTS + PatchTST,5,33.61,15.74
Prophet + XGBoost + N-BEATS + PatchTST + Chronos,5,33.64,14.73
ETS + Prophet + N-HiTS + PatchTST + Chronos,5,33.68,15.86
ETS + TFT + PatchTST + Chronos,4,33.68,15.16
ETS + XGBoost + TFT + N-BEATS + PatchTST,5,33.71,15.55
Prophet + TFT + N-HiTS + PatchTST + Chronos,5,33.75,15.55
Prophet + PatchTST + Chronos,3,33.76,16.17
Prophet + TFT + N-BEATS + PatchTST + Chronos,5,33.78,14.97
ETS + TFT + N-HiTS + PatchTST,4,33.8,15.71
Prophet + N-HiTS + PatchTST + Chronos,4,33.8,15.9
ETS + Prophet + N-BEATS + PatchTST + Chronos,5,33.81,15.71
ETS + TFT + N-HiTS + PatchTST + Chronos,5,33.82,14.84
ETS + TFT + N-BEATS + PatchTST,4,33.83,14.91
Prophet + TFT + PatchTST + Chronos,4,33.85,16.45
XGBoost + TFT + N-HiTS + PatchTST + Chronos,5,33.86,15.45
ETS + Prophet + XGBoost + TFT + N-HiTS,5,33.89,14.86
ETS + Prophet + XGBoost + N-HiTS + PatchTST,5,33.89,15.27
XGBoost + TFT + N-HiTS + PatchTST,4,33.9,16.18
ETS + TFT + N-BEATS + PatchTST + Chronos,5,33.91,14.9
XGBoost + TFT + PatchTST,3,33.91,16.02
XGBoost + TFT + PatchTST + Chronos,4,33.93,16.06
XGBoost + TFT + N-BEATS + PatchTST + Chronos,5,33.93,15.33
XGBoost + TFT + N-BEATS + PatchTST,4,33.96,15.12
ETS + Prophet + XGBoost + PatchTST,4,33.97,16.09
Prophet + N-BEATS + PatchTST + Chronos,4,33.97,14.99
Prophet + TFT + N-HiTS + PatchTST,4,34.01,17.07
Prophet + TFT + N-BEATS + PatchTST,4,34.02,17.62
ETS + Prophet + TFT + N-HiTS + Chronos,5,34.06,14.95
ETS + Prophet + PatchTST,3,34.07,15.37
XGBoost + PatchTST + Chronos,3,34.08,15.33
ETS + Prophet + XGBoost + TFT + N-BEATS,5,34.1,14.72
ETS + PatchTST + Chronos,3,34.1,15.36
Prophet + XGBoost + TFT + N-HiTS + Chronos,5,34.1,15.83
Prophet + XGBoost + N-HiTS + PatchTST,4,34.11,16.15
ETS + Prophet + XGBoost + N-BEATS + PatchTST,5,34.12,14.72
XGBoost + N-HiTS + PatchTST + Chronos,4,34.17,15.26
ETS + Prophet + TFT + N-HiTS,4,34.17,16.59
ETS + XGBoost + N-HiTS + PatchTST + Chronos,5,34.22,15.24
ETS + Prophet + TFT + N-BEATS + Chronos,5,34.23,14.9
ETS + Prophet + XGBoost + TFT + Chronos,5,34.24,16.7
Prophet + XGBoost + TFT + N-BEATS + Chronos,5,34.25,15.51
ETS + XGBoost + PatchTST + Chronos,4,34.26,15.8
ETS + Prophet + N-HiTS + PatchTST,4,34.29,15.9
ETS + N-HiTS + PatchTST + Chronos,4,34.32,15.78
ETS + Prophet + TFT + N-BEATS,4,34.33,15.47
ETS + Prophet + XGBoost + N-HiTS + Chronos,5,34.37,14.65
Prophet + XGBoost + TFT + N-HiTS,4,34.38,16.61
Prophet + XGBoost + N-BEATS + PatchTST,4,34.38,14.87
XGBoost + N-BEATS + PatchTST + Chronos,4,34.39,14.79
Prophet + TFT + N-BEATS + N-HiTS + PatchTST,5,34.4,17.34
Prophet + TFT + PatchTST,3,34.4,17.57
ETS + XGBoost + N-BEATS + PatchTST + Chronos,5,34.41,15.11
Prophet + XGBoost + PatchTST,3,34.43,17.41
XGBoost + TFT + N-BEATS + N-HiTS + PatchTST,5,34.45,15.12
ETS + Prophet + N-BEATS + PatchTST,4,34.47,14.65
