location,cause,value_2023,forecast_2025,pct_change_2025,forecast_2030,pct_change_2030,forecast_2035,pct_change_2035,forecast_2040,pct_change_2040
AUS,anxiety,1314.1,1476.0,12.3,1910.2,45.4,2344.4,78.4,2778.7,111.5
AUS,asthma,519.3,535.2,3.1,541.2,4.2,541.3,4.2,541.3,4.2
AUS,cancer_all,4345.3,4292.4,-1.2,4330.5,-0.3,4333.2,-0.3,4333.4,-0.3
AUS,cancer_breast,341.0,325.8,-4.4,295.1,-13.4,262.0,-23.2,226.1,-33.7
AUS,cancer_colorectal,478.4,467.2,-2.3,442.8,-7.4,421.8,-11.8,404.3,-15.5
AUS,cancer_liver,198.0,199.1,0.6,210.4,6.3,204.1,3.1,225.0,13.6
AUS,cancer_lung,733.1,726.6,-0.9,717.0,-2.2,716.8,-2.2,716.7,-2.2
AUS,cancer_prostate,311.1,313.5,0.8,314.7,1.1,315.6,1.4,316.6,1.8
AUS,ckd,379.3,387.9,2.3,387.8,2.2,387.8,2.2,387.8,2.2
AUS,copd,732.0,728.6,-0.5,728.7,-0.5,728.7,-0.5,728.7,-0.5
AUS,dementia,971.7,998.8,2.8,1064.7,9.6,1141.9,17.5,1215.1,25.0
AUS,depression,751.6,749.8,-0.2,755.7,0.5,755.7,0.5,755.7,0.5
AUS,dm_type1,45.2,45.1,-0.4,45.1,-0.4,45.1,-0.4,45.1,-0.4
AUS,dm_type2,612.5,602.1,-1.7,602.6,-1.6,602.6,-1.6,602.6,-1.6
AUS,hypertensive_hd,72.5,68.7,-5.3,69.7,-3.9,69.7,-3.9,69.7,-3.9
AUS,ihd,1375.6,1305.2,-5.1,1113.4,-19.1,942.4,-31.5,798.8,-41.9
AUS,self_harm,544.6,524.2,-3.7,511.1,-6.2,511.1,-6.2,511.1,-6.2
AUS,stroke,719.9,667.1,-7.3,604.3,-16.1,548.3,-23.8,497.5,-30.9
CAN,anxiety,869.3,1124.3,29.3,3252.4,274.1,13836.3,1491.6,66446.9,7543.5
CAN,asthma,458.2,467.6,2.1,488.0,6.5,505.3,10.3,522.5,14.0
CAN,cancer_all,5326.9,5339.5,0.2,5328.3,0.0,5328.3,0.0,5328.3,0.0
CAN,cancer_breast,429.4,429.2,-0.1,437.6,1.9,437.3,1.8,441.1,2.7
CAN,cancer_colorectal,620.9,636.3,2.5,641.4,3.3,641.4,3.3,641.4,3.3
CAN,cancer_liver,197.8,207.3,4.8,231.4,16.9,255.3,29.1,279.4,41.2
CAN,cancer_lung,1216.0,1132.2,-6.9,1167.9,-4.0,1191.6,-2.0,1215.7,-0.0
CAN,cancer_prostate,281.3,298.1,5.9,332.6,18.2,365.0,29.8,397.4,41.3
CAN,ckd,489.4,526.0,7.5,594.9,21.6,680.3,39.0,777.6,58.9
CAN,copd,911.2,820.7,-9.9,764.5,-16.1,636.7,-30.1,360.8,-60.4
